teamId,name,role,ovr,rating
spirit,donk,Entry,99,1.55
spirit,sh1ro,AWP,91,1.21
spirit,tn1r,Lurk,85,1.09
spirit,zont1x,Support,85,1.06
spirit,magixx,Support,82,1.01
falcons,m0nesy,AWP,97,1.34
falcons,kyousuke,Entry,92,1.25
falcons,niko,Entry,89,1.18
falcons,teses,Support,82,1.01
falcons,karrigan,IGL,71,0.78
fut,xfl0ud,AWP,88,1.15
fut,dem0n,Entry,85,1.11
fut,dziugss,Lurk,87,1.14
fut,cmtry,Lurk,79,0.99
fut,krabeni,Support,85,1.06
fut,launx,IGL,81,0.99
mouz,xelex,AWP,82,1.03
mouz,spinx,Entry,87,1.15
mouz,torzsi,AWP,91,1.23
mouz,xertion,Lurk,89,1.16
mouz,pr,IGL,85,1.03
mouz,brollan,IGL,88,1.12
legacy,n1ssim,AWP,79,1.01
legacy,latto,Entry,92,1.23
legacy,try,Lurk,96,1.32
legacy,dumau,Support,88,1.12
legacy,art,IGL,79,0.94
legacy,saadzin,Lurk,84,1.06
furia,molodoy,AWP,91,1.23
furia,yuurih,Entry,85,1.13
furia,yekindar,Entry,87,1.17
furia,kscerato,Lurk,91,1.2
furia,fallen,IGL,80,0.96
vitality,zywoo,AWP,98,1.42
vitality,apex,IGL,78,0.92
vitality,flamez,Entry,90,1.22
vitality,mezii,Support,81,0.99
vitality,ropz,Lurk,86,1.11
9z,huasopeek,AWP,85,1.09
9z,luchov,Entry,86,1.14
9z,dgt,Lurk,84,1.06
9z,meyern,Support,79,0.96
9z,max,IGL,77,0.91
navi,w0nderful,AWP,84,1.08
navi,im,Entry,82,1.05
navi,makazze,Lurk,81,1.01
navi,b1t,Lurk,90,1.2
navi,aleksib,IGL,76,0.88
g2,nertz,AWP,85,1.09
g2,hunter,Entry,83,1.08
g2,r1nkle,Lurk,81,1.03
g2,matys,Lurk,81,1.01
g2,heavygod,IGL,93,1.23
g2,sunpayus,Support,84,1.04
faze,twistzz,AWP,91,1.22
faze,frozen,Entry,87,1.14
faze,jcobbb,Lurk,90,1.19
faze,jboen,Lurk,87,1.13
faze,neityu,IGL,81,0.98
faze,karrigan,IGL,71,0.78
faze,broky,AWP,82,1.04
betboom,magnojez,Entry,91,1.23
betboom,boombl4,IGL,85,1.08
betboom,d1ledez,Lurk,83,1.07
betboom,zorte,Support,79,0.97
betboom,s1ren,IGL,85,1.05
betboom,fl4mus,AWP,88,1.17
aurora,wicadia,AWP,89,1.18
aurora,jimpphat,Entry,92,1.25
aurora,xantares,Lurk,89,1.17
aurora,kyxsan,Lurk,82,1.04
aurora,woxic,AWP,89,1.17
aurora,maj3r,IGL,84,1.04
aurora,soulfly,IGL,87,1.11
parivision,jame,IGL,87,1.11
parivision,zweih,Entry,76,0.96
parivision,xielo,Lurk,77,0.95
parivision,slaxejezzz,Support,81,1.02
parivision,fl1t,IGL,82,1.01
parivision,belchonokk,Lurk,78,0.96
parivision,nota,Lurk,81,1.01
big,gr1ks,AWP,90,1.2
big,jdc,Entry,82,1.06
big,blamef,Entry,91,1.2
big,faven,Support,81,0.98
big,tabsen,IGL,84,1.03
the-mongolz,910,Entry,87,1.14
the-mongolz,techno,Lurk,75,0.9
the-mongolz,blitz,Lurk,84,1.07
the-mongolz,tikuak,Support,83,1.03
the-mongolz,darkmeister,IGL,80,0.96
the-mongolz,mzinho,AWP,82,1.04
the-mongolz,cobrazera,Lurk,85,1.09
b8,kensizor,AWP,82,1.03
b8,npl,Entry,85,1.11
b8,s1zzi,Lurk,86,1.09
b8,alex666,Support,82,1.02
b8,esenthial,IGL,81,0.99
astralis,staehr,AWP,90,1.19
astralis,hooxi,IGL,78,0.92
astralis,jabbi,Lurk,83,1.04
astralis,phzy,Support,79,0.96
astralis,ryu,IGL,85,1.06
mibr,insani,AWP,92,1.23
mibr,lnz,Lurk,84,1.07
mibr,venomzera,Lurk,88,1.15
mibr,nqz,Support,88,1.14
mibr,brnz4n,IGL,78,0.92
mibr,kl1m,Entry,82,1.08
liquid,elige,Entry,92,1.25
liquid,naf,Lurk,86,1.1
liquid,malbsmd,Lurk,83,1.06
liquid,jt,IGL,80,0.97
liquid,jorko,Support,87,1.1
liquid,siuhy,IGL,68,0.74
liquid,ultimate,AWP,75,0.91
alliance,eraa,AWP,90,1.19
alliance,avid,Entry,86,1.14
alliance,twist,Lurk,84,1.06
alliance,upe,Support,83,1.03
alliance,bobeksde,IGL,83,1.01
alliance,mail09,Lurk,86,1.09
magic,tenzy,AWP,94,1.26
magic,aw,Entry,86,1.13
magic,masval,Lurk,91,1.2
magic,mo0n,Support,84,1.05
magic,sfade8,IGL,82,0.99
gamerlegion,fl4mus,AWP,88,1.17
gamerlegion,rez,Entry,83,1.06
gamerlegion,tauson,Lurk,83,1.04
gamerlegion,hypex,Lurk,82,1.03
gamerlegion,snax,IGL,80,0.95
gamerlegion,pr,IGL,85,1.03
inner-circle,cptkurtka023,AWP,90,1.2
inner-circle,dawy,Entry,89,1.18
inner-circle,headtr1ck,Lurk,92,1.23
inner-circle,onic,Support,78,0.94
inner-circle,zerrofix,IGL,85,1.05
tyloo,zero,AWP,83,1.06
tyloo,moseyuh,Entry,76,0.95
tyloo,jee,Lurk,85,1.09
tyloo,mercury,Support,77,0.93
tyloo,jamyoung,IGL,93,1.24
